Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkPackMuleRank5Desc,progression,perk Str,,,Pack Mule,Pack Mule,Pack Mule,Pack Mule,Pack Mule,Pack Mule,Pack Mule,Pack Mule,Pack Mule,Pack Mule,Pack Mule,Pack Mule,Pack Mule,Pack Mule,Pack Mule
perkPackMuleRank5LongDesc,progression,perk Str,,,"Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry two more items without being encumbered."
perkPackMuleRank6Desc,progression,perk Str,,,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty,Storage Royalty
perkPackMuleRank6LongDesc,progression,perk Str,,,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.,Who has time to organize their stuff perfectly? Carry four more items without being encumbered.
perkPackMuleRank7Desc,progression,perk Str,,,Packed Up,Packed Up,Packed Up,Packed Up,Packed Up,Packed Up,Packed Up,Packed Up,Packed Up,Packed Up,Packed Up,Packed Up,Packed Up,Packed Up,Packed Up
perkPackMuleRank7LongDesc,progression,perk Str,,,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.,You know it's in there somewhere. Carry an additional four more items without being encumbered.
perkPackMuleRank8Desc,progression,perk Str,,,Organized,Organized,Organized,Organized,Organized,Organized,Organized,Organized,Organized,Organized,Organized,Organized,Organized,Organized,Organized
perkPackMuleRank8LongDesc,progression,perk Str,,,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.,You know exactly where everything is. Carry four additional items without being encumbered.
perkPackMuleRank9Desc,progression,perk Str,,,The Collector,The Collector,The Collector,The Collector,The Collector,The Collector,The Collector,The Collector,The Collector,The Collector,The Collector,The Collector,The Collector,The Collector,The Collector
perkPackMuleRank9LongDesc,progression,perk Str,,,"You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered.","You just passed inspection, private. Carry four more items without being encumbered."
perkPackMuleRank10Desc,progression,perk Str,,,Hoarder,Hoarder,Hoarder,Hoarder,Hoarder,Hoarder,Hoarder,Hoarder,Hoarder,Hoarder,Hoarder,Hoarder,Hoarder,Hoarder,Hoarder
perkPackMuleRank10LongDesc,progression,perk Str,,,"Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered.","Now you are just showing off, you are either part mule or a strongman. Carry eight more items without being encumbered."
perkPackMuleDesc,progression,perk Str,,,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.,Rummaging through personal belongings can weigh you down. Find backpacks to unlock additional spots in your inventory.

perkDaringAdventurerRank1LongDesc,progression,perk Int,,,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.,Risking your neck every day has its advantages. Get an additional choice for quest rewards and 2% more dukes.
perkDaringAdventurerRank2LongDesc,progression,perk Int,,,"The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes.","The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 5% more dukes."
perkDaringAdventurerRank3LongDesc,progression,perk Int,,,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.,You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 8% more dukes.
perkDaringAdventurerRank4LongDesc,progression,perk Int,,,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.,You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 10% more dukes.

perkTreasureHunterRank1LongDesc,progression,perk Per,,,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 5% more items in buried treasure.
perkTreasureHunterRank2LongDesc,progression,perk Per,,,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 10% more items in buried treasure.
perkTreasureHunterRank3LongDesc,progression,perk Per,,,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.,The treasure burial radius is reduced by 1m.\nFind 20% more items in buried treasure.

perkPainToleranceRank1LongDesc,progression,perk For,,,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.,You like to think you are tough because you don't have a glass jaw anymore. Reduce HP loss by 5%.\n10% less chance to get stunned.
perkPainToleranceRank2LongDesc,progression,perk For,,,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.,Broken bones and cuts are life when you are rugged. Reduce HP loss by 10%.\n20% less chance to get stunned.
perkPainToleranceRank3LongDesc,progression,perk For,,,"After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned.","After all the beat downs you endured, you are now very durable. Reduce HP loss by 15% and have a 30% less chance to get stunned."
perkPainToleranceRank4LongDesc,progression,perk For,,,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.,It's going to take a lot more than that to keep you down. Reduce HP loss by 20% and have a 40% less chance to get stunned.
perkPainToleranceRank5LongDesc,progression,perk For,,,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.,You seem to thrive on pain and now possess an iron chin. Reduce HP loss by 25% and have a 50% less chance to get stunned.

perkGreaseMonkeyRank1LongDesc,progression,perk Int,,,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.,Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Can craft bicycle parts. Craft wheels and bicycle parts 33% cheaper.
